property_size_sqft,bedrooms,bathrooms,floors,age_of_property,distance_to_city_center,school_rating,crime_rate_index,price
1395,6,1,2,12,1.07,9,42.39,890335
3742,2,3,1,5,2.39,6,94.97,100220
4951,3,3,1,21,25.85,9,66.24,330494
4198,5,3,2,32,1.77,10,83.35,629883
1675,3,1,1,32,20.52,3,17.93,1835725
1416,4,3,2,3,9.91,6,85.49,1483457
737,4,2,2,13,24.86,10,18.95,1188502
1278,1,2,1,49,25.5,9,97.62,139785
1476,1,1,1,47,28.62,2,27.99,155654
4393,1,1,2,34,3.32,3,68.41,921890
779,7,1,2,26,12.97,7,54.65,1322020
892,4,4,2,5,17.43,5,47.86,1764456
2462,2,3,1,0,27.52,9,42.86,1208130
4284,6,1,1,42,8.36,1,38.36,395586
464,7,1,1,27,2.61,8,30.32,680027
2968,2,1,2,28,6.45,6,59.72,1944376
2427,5,2,1,31,15.12,2,98.42,1935006
3095,4,1,2,27,20.59,6,67.22,1528069
1895,6,2,2,26,20.87,1,75.69,1505423
791,6,2,2,9,2.7,7,65.42,1960974
4914,6,4,1,17,22.96,9,51.57,268638
4874,1,1,1,3,19.98,3,81.71,698567
3961,6,4,2,37,12.52,4,32.32,848276
2678,6,1,2,40,17.35,6,27.32,743968
3499,4,3,2,41,23.15,5,38.38,1871026
600,2,1,2,31,8.23,2,57.88,1555244
3504,7,1,1,4,28.23,8,0.01,1897452
4998,7,1,1,21,4.56,10,83.52,1152745
2854,2,1,2,47,27.12,10,30.32,1063495
4045,3,1,1,21,22.36,10,60.08,1975482
1204,3,1,1,1,19.99,8,5.24,1237456
3131,5,4,1,40,2.95,2,43.16,1582367
3173,4,3,1,42,27.61,2,6.79,984300
1970,3,4,2,33,9.21,10,1.13,682011
3090,3,3,1,49,22.5,7,78.83,791262
4240,4,4,2,1,26.6,3,40.48,1132157
1428,2,4,1,45,7.71,9,81.47,1919220
902,5,1,2,35,27.48,6,33.73,953606
4893,5,4,2,39,18.55,3,64.78,647815
1270,5,3,1,7,19.94,6,9.43,1179545
4888,3,2,1,32,27.48,8,19.05,1421854
606,2,3,1,32,16.04,7,47.13,285262
1884,5,4,1,3,13.5,7,44.05,1112513
1263,4,2,2,17,19.18,5,19.42,1196328
3190,5,1,2,18,16.84,10,87.08,1476119
963,7,2,1,9,2.31,4,28.43,711432
4591,1,1,2,49,5.82,8,42.73,1808997
2157,2,3,2,41,0.9,9,33.74,1459158
2078,1,2,1,40,3.69,2,99.55,771480
3642,2,2,1,29,22.03,5,34.66,695890
1459,6,2,2,21,0.64,7,26.46,797957
2122,4,1,1,38,9.48,5,90.68,195079
3714,6,1,1,37,13.75,8,15.74,1200143
3557,3,3,2,0,28.17,8,91.82,1447512
3025,3,3,2,29,10.15,5,56.85,416154
3129,6,4,1,4,23.6,8,22.32,1908609
1997,2,1,2,46,12.56,2,25.2,605078
3460,5,3,2,25,3.41,5,71.1,1931400
3093,1,2,1,45,3.42,5,3.94,1199959
4027,4,2,2,30,13.26,9,71.55,307398
1763,5,2,1,38,2.21,10,30.99,628868
2381,3,3,1,40,17.36,2,80.83,1735578
2063,5,2,2,11,15.06,3,12.5,197434
1929,6,2,2,16,21.22,10,24.92,1636594
2438,6,1,1,17,5.98,9,43.9,75712
3702,7,1,2,1,17.99,6,87.92,134144
2637,7,3,2,48,5.65,6,28.41,1486823
1706,1,1,1,23,21.81,10,84.38,437149
4429,3,4,2,27,9.56,4,10.21,1858134
3075,2,3,2,38,18.63,3,17.36,1130103
1682,4,4,2,9,26.54,8,15.8,623859
1109,6,4,1,46,14.9,1,61.3,1123313
4813,4,3,2,32,6.17,9,38.87,834713
4148,3,1,1,23,26.64,1,86.35,731316
1063,2,1,2,10,11.08,2,48.58,1417732
2398,7,3,2,7,22.04,4,83.8,1412812
3845,6,4,1,26,9.94,5,24.03,1614738
4143,1,3,2,25,9.3,4,93.13,1497584
1895,4,3,2,11,19.44,10,63.49,1530549
3704,3,2,2,34,5.11,10,50.56,1306271
4163,4,2,1,14,26.08,8,60.88,319557
2253,7,4,1,20,11.93,9,91.71,1891393
1691,7,1,1,36,1.07,5,34.25,1238711
3981,2,2,2,29,9.51,2,24.58,619665
3857,1,2,1,4,23.66,1,24.54,443833
2036,7,4,2,16,25.85,9,97.27,1100933
4096,2,3,2,25,17.25,5,33.75,724556
3399,7,2,1,33,9.18,3,88.39,1997456
3552,6,1,1,32,16.07,4,13.75,972820
1098,5,4,2,17,25.17,1,43.06,295241
2560,2,2,1,24,9.82,8,61.92,536695
4497,2,4,1,40,11.87,1,96.35,605855
1254,4,2,2,29,16.42,5,67.73,244495
3874,7,2,2,36,26.67,1,0.2,1556413
2107,2,4,2,19,17.67,8,76.01,1045977
3177,3,1,1,44,6.62,5,64.98,699229
2133,6,1,2,1,3.13,5,18.52,1697740
3910,4,3,1,12,3.3,7,62.05,1356570
602,4,2,2,39,28.53,6,92.56,787330
3655,5,3,1,41,24.76,10,0.45,1368618
4618,6,4,1,19,23.09,9,97.44,599760
4896,3,3,2,5,15.14,8,29.62,1823336
1166,6,4,1,10,20.34,8,60.75,964553
4789,2,1,1,45,4.26,3,27.76,183601
2727,5,4,1,24,18.82,3,73.09,632179
3331,3,4,2,41,24.42,5,51.58,1835626
597,5,3,1,9,2.33,8,26.29,52285
2330,6,2,2,30,9.24,3,50.34,545124
3982,1,3,2,42,3.75,3,35.16,1325294
1008,6,1,1,3,8.18,8,24.97,591148
3672,2,1,1,24,23.29,4,59.28,1352149
1547,5,1,2,27,10.3,1,63.82,926339
4682,1,2,2,23,20.85,5,14.05,129706
3797,2,3,1,34,23.31,5,92.92,1970335
2911,5,4,2,40,24.59,4,0.67,985047
2194,5,4,2,4,26.26,6,27.69,512909
1059,6,2,2,32,18.13,4,34.33,1472046
3211,7,1,1,10,8.78,7,6.64,1593049
1769,5,2,1,7,4.94,8,9.0,1641238
2386,5,4,2,20,15.36,1,84.74,823234
546,4,1,1,31,3.55,8,36.18,955127
3619,7,2,1,4,27.37,4,36.53,1078303
3311,5,4,2,33,13.55,9,68.86,887666
2134,6,4,2,8,26.25,2,72.43,1790284
2243,4,2,1,37,21.42,2,70.75,974629
888,4,4,1,42,25.79,3,46.89,634148
3376,1,3,1,31,26.58,6,70.67,1289833
2359,2,3,1,9,2.07,4,92.39,1025855
2785,4,1,1,11,21.9,5,13.48,1607065
3319,3,3,1,34,7.18,8,57.48,1109655
2202,4,3,1,38,29.68,7,87.87,1295503
4461,3,2,2,17,23.46,8,96.57,1993404
3769,7,1,1,22,0.61,3,8.79,93773
662,1,2,1,11,27.86,2,94.98,176167
1023,3,2,1,30,9.12,6,72.65,1352275
1416,1,3,1,10,12.79,3,72.46,1153430
4043,1,3,2,33,18.56,1,14.76,1100243
2449,1,4,2,26,27.53,8,57.58,1585080
4123,3,4,2,20,27.86,3,35.86,211295
4948,3,1,1,9,17.12,6,58.56,1692764
3508,1,3,1,12,9.84,9,73.74,811058
4490,7,4,2,44,8.74,7,18.34,1494529
2456,1,2,2,46,11.25,4,15.3,1639570
3570,7,3,1,24,5.83,6,35.68,1962223
2082,2,1,1,12,20.26,10,64.23,1754450
2655,7,1,1,40,16.07,9,67.38,798895
1554,7,2,2,5,23.32,1,60.88,317358
4899,7,4,1,34,3.28,2,84.95,1229367
3591,1,2,2,27,12.3,1,73.49,329077
2096,5,4,2,19,7.58,5,50.47,1448978
4391,2,3,2,19,16.29,5,48.25,447805
2048,2,1,1,40,14.31,1,79.77,1464438
1845,2,4,1,3,13.76,1,88.4,976904
4599,5,2,2,19,9.81,8,84.91,710022
4323,2,3,2,4,21.94,8,49.63,106218
653,2,4,2,21,14.71,1,57.92,123521
3583,3,3,1,23,6.47,10,78.63,1316918
2957,6,3,1,43,16.65,10,57.94,1412221
498,3,2,1,16,18.1,7,22.49,723402
2600,1,2,2,4,1.13,4,88.68,1921273
3361,1,3,1,25,6.51,1,49.34,693888
4833,7,3,1,35,7.65,4,98.21,682235
4177,4,4,1,7,7.82,8,55.32,1520367
3269,6,2,1,8,7.55,2,38.69,1237911
3634,5,4,2,16,8.51,9,21.33,1265789
4191,3,1,1,7,8.25,7,34.49,1328809
1356,1,4,1,4,26.58,5,22.06,1244235
4467,5,3,2,9,9.93,8,92.16,1863240
560,2,1,2,49,10.82,7,60.05,871451
4893,5,4,1,13,8.35,9,82.02,1529622
1700,3,1,1,26,29.04,10,20.83,1954420
4387,6,2,2,26,16.3,6,6.21,1134886
1927,4,4,2,4,18.51,9,41.89,1900369
1618,7,4,1,14,22.2,1,93.62,1075732
4896,3,2,1,27,10.34,3,11.31,432288
3504,7,4,1,4,29.08,1,78.86,526350
3135,6,1,2,21,4.99,4,5.92,1386970
4955,1,2,2,11,14.01,7,16.52,1286219
1354,7,1,1,41,4.79,1,72.99,1063393
4965,1,4,1,7,23.82,3,21.1,1184768
3846,5,4,2,0,3.67,4,2.2,1590823
1445,3,4,2,34,16.84,3,21.94,1779235
2093,1,4,2,15,3.59,9,73.28,1254365
3836,2,1,2,29,13.85,6,53.22,1520357
962,2,4,1,42,8.77,10,54.72,344805
2885,4,2,1,40,27.15,6,41.04,706345
3754,5,2,2,9,2.07,9,14.58,743876
625,1,3,2,33,19.67,8,21.55,192928
1359,4,2,2,10,21.01,6,18.51,823144
4948,2,3,2,19,26.72,8,70.72,1952991
3467,4,2,1,42,26.39,9,84.71,398454
1215,4,2,2,6,29.32,4,23.75,1963821
3520,1,4,1,20,7.99,5,17.25,948516
416,1,2,1,10,8.61,6,25.17,131949
1643,1,4,1,36,12.22,7,93.88,603698
2605,5,4,1,22,16.36,10,21.36,1500260
2924,7,2,1,43,11.33,5,69.0,285591
1469,4,1,2,30,22.34,5,11.67,1904122
3844,4,4,1,17,0.75,10,66.03,623660
2965,5,2,2,23,1.02,5,24.45,598062
1460,2,1,2,21,21.62,7,83.72,695308
2727,3,2,1,36,26.55,10,2.32,120888
3820,7,2,2,46,23.41,10,50.03,659895
701,2,1,2,43,3.95,3,66.33,1812706
4676,5,2,2,0,28.08,10,74.35,781667
1006,7,4,1,49,15.9,8,90.04,270590
3570,7,3,1,5,22.4,10,62.59,556135
1099,4,3,1,37,6.43,4,12.86,1643919
1539,4,2,2,28,16.69,4,72.35,185059
590,1,3,2,42,10.24,6,52.8,1544865
2700,1,3,2,10,29.26,8,9.96,1961800
1380,4,3,2,15,14.49,9,14.04,1657015
3375,4,4,1,5,22.79,1,82.84,826256
1584,6,4,1,0,18.3,2,56.55,594070
3727,7,3,1,47,3.28,10,15.78,1697896
3794,1,1,2,34,16.52,6,78.85,1361577
527,1,1,2,23,16.44,7,58.65,81593
2465,2,1,2,37,21.61,10,16.74,1864200
2216,4,4,2,2,10.0,5,44.98,1259162
969,7,4,1,39,25.89,5,92.89,1441520
2295,4,4,2,1,18.87,6,75.15,575544
3133,5,4,1,14,1.66,6,38.68,694168
4263,2,3,1,21,21.35,4,0.53,451340
4414,3,4,2,45,27.26,10,22.6,1480443
3301,3,3,1,45,20.65,7,18.08,1454286
2086,3,1,1,3,11.71,9,37.77,653580
3409,7,3,2,23,17.92,2,88.25,1060149
554,6,1,1,18,5.56,8,18.0,423218
2937,1,4,2,29,18.24,10,4.97,1466878
1809,7,1,2,21,15.28,10,13.13,197022
4457,3,1,1,38,1.27,6,44.62,462447
1184,5,3,2,47,10.0,3,6.75,686628
3575,7,1,1,39,6.14,2,55.65,1476792
4741,7,2,1,26,12.02,10,27.39,1602878
3206,1,1,1,14,7.63,10,37.49,516240
937,1,4,1,36,25.11,6,15.61,769566
2241,3,1,1,0,21.08,6,74.57,1959149
2855,1,2,1,11,22.33,5,38.14,210625
924,2,3,2,8,11.15,4,11.51,1135922
3350,2,1,1,18,0.6,9,36.15,1408849
4531,3,2,1,17,6.97,2,98.35,1267327
4515,7,4,2,38,22.78,4,71.4,899157
2768,5,4,2,10,18.28,1,86.93,1920402
4247,1,3,1,10,16.39,10,89.2,1110311
4895,4,4,2,29,8.78,4,54.88,609685
3101,7,2,1,19,2.73,8,55.69,1650289
1371,3,1,2,14,23.65,10,90.67,670162
1566,6,2,2,24,1.64,3,87.33,1843316
3174,1,3,2,48,2.24,3,71.64,1758213
2382,3,1,1,2,9.2,6,82.2,381493
1253,3,2,2,42,17.4,2,74.14,798309
4546,5,3,2,25,29.77,4,30.78,250047
4136,4,3,1,44,3.17,5,12.08,263500
4169,1,1,1,27,14.46,8,71.72,149713
974,3,1,2,5,18.25,4,90.56,1931733
3661,3,4,2,45,24.78,5,97.85,1804789
1548,7,4,2,31,20.84,4,4.89,1672851
2115,1,1,1,10,24.33,3,63.68,1211144
4254,3,4,1,12,15.91,6,61.74,1984981
2891,3,1,2,16,13.3,9,36.92,1267057
3060,3,4,1,45,18.75,6,55.26,188078
3524,2,2,2,45,27.08,7,45.58,929411
3451,2,3,2,35,16.75,8,92.46,618803
404,4,1,1,29,18.36,1,29.92,1691464
1276,5,1,1,3,10.47,7,17.93,1348565
1391,7,1,1,13,18.09,8,67.31,965071
4542,7,2,1,45,19.02,7,28.58,1125514
4764,1,3,2,27,22.73,1,5.57,1953655
4865,5,4,2,6,17.38,2,80.15,429407
1035,5,4,1,15,6.33,4,32.46,1054097
2093,7,3,2,13,17.67,5,99.25,1773913
2082,2,4,1,36,9.29,9,31.2,1757345
519,4,1,1,38,3.08,9,55.57,111088
1230,5,3,2,48,24.85,2,16.11,1020819
4075,7,2,1,26,2.45,7,53.29,151926
1769,5,3,2,29,19.14,3,26.5,1406291
1140,3,1,1,14,29.66,8,68.22,1868943
516,1,3,2,38,3.08,9,2.84,693034
3238,4,2,1,41,6.99,4,69.91,1373107
1550,7,2,2,17,22.94,2,51.77,1587048
2331,1,3,1,10,3.36,10,38.0,1007966
1412,2,3,1,21,25.07,9,6.46,1024281
2064,5,4,1,45,0.51,2,6.24,243157
1481,5,4,2,3,26.75,2,79.22,312724
912,6,1,1,2,2.47,9,74.07,1027995
3249,1,4,1,23,27.7,6,46.57,1541114
959,2,1,1,13,26.0,5,0.69,534314
4072,7,1,1,2,16.42,6,81.31,1949954
4983,6,3,1,30,23.45,9,66.56,794334
3743,6,4,2,34,2.71,1,7.68,705821
4470,3,2,2,30,4.49,7,27.65,1089542
1870,6,2,2,11,11.39,8,6.78,1741010
980,6,3,1,9,16.36,4,86.98,317401
2694,3,2,2,19,26.11,8,50.38,1901415
3547,5,2,1,17,16.51,10,37.42,1940678
4649,5,3,2,43,20.12,1,63.17,129657
2079,4,2,2,35,20.56,8,74.58,1909155
3906,6,3,2,18,26.39,3,65.3,659345
3144,1,1,1,16,23.41,4,82.88,702937
3756,5,4,1,39,29.32,8,59.44,992577
4445,2,2,1,10,1.09,8,0.31,1109240
1643,7,3,2,4,6.63,2,13.61,438756
3518,1,2,1,36,27.95,9,86.72,1342980
2541,4,4,1,44,23.87,4,12.78,1532948
3459,6,2,2,35,8.39,6,61.96,1792392
4948,3,1,2,44,29.24,8,20.6,1897187
3359,4,3,1,47,26.16,4,96.05,930495
2665,1,4,2,43,2.41,8,22.54,213605
2879,3,1,1,13,24.43,7,36.19,1605505
2035,2,2,2,27,23.64,8,77.37,1922007
2157,3,2,1,8,7.02,4,65.81,406047
4852,3,2,1,37,20.24,2,32.16,572635
2470,2,4,2,28,29.12,4,69.8,437802
3249,5,3,2,24,20.44,5,97.99,851564
3651,5,4,1,7,24.51,4,14.5,1961262
4130,3,1,2,47,3.43,8,24.04,1750477
2889,7,3,1,18,21.96,10,44.9,1362421
2031,3,4,2,1,6.54,5,31.34,1429944
3216,4,2,1,5,2.62,9,31.69,696217
1415,7,1,2,29,16.79,7,42.9,1390382
1748,5,2,1,1,22.64,7,78.97,498665
3487,2,4,2,18,16.63,5,35.7,821465
3239,6,1,1,12,27.98,3,25.68,1035966
735,6,3,1,48,21.02,8,55.08,759304
4992,3,3,2,7,3.97,4,87.17,254594
1295,3,4,2,8,28.07,3,69.95,1592936
3946,6,4,1,22,5.01,4,34.01,966528
1251,4,3,1,36,22.87,1,97.22,1936968
2087,4,3,2,7,4.88,8,69.08,1011097
2331,4,4,2,8,29.96,9,13.83,953651
4146,1,3,1,15,10.3,3,69.46,1076446
2827,2,1,1,15,15.13,10,90.58,527225
1968,1,4,1,11,14.27,6,47.3,844594
4400,3,1,2,24,3.51,4,72.94,1200197
3138,4,2,2,10,15.07,9,15.08,908388
3898,4,1,1,17,4.91,2,11.06,627562
4313,6,4,2,12,24.16,3,62.8,616351
1466,6,2,1,34,28.77,1,40.03,935822
4780,7,3,1,17,24.34,7,45.94,68610
2844,4,1,2,42,13.22,9,30.74,165359
4507,5,1,2,29,0.57,1,45.56,634203
3773,6,4,2,42,1.58,3,9.9,297527
4369,2,3,1,36,15.1,7,10.8,613607
2946,1,4,2,29,20.54,3,44.42,418617
1153,2,3,2,2,24.68,3,45.31,113048
2482,6,4,2,28,18.19,3,87.14,250874
3174,4,3,1,24,29.36,4,33.04,1305004
3296,3,2,1,1,15.07,4,67.69,1548921
4585,5,4,1,46,18.2,8,30.31,861082
1175,6,2,2,4,7.29,5,30.79,1134381
2025,2,4,1,30,10.52,3,70.88,1262357
3469,3,4,1,4,20.65,10,56.2,305335
817,6,4,1,20,18.25,5,37.29,1197162
514,4,1,2,47,11.4,9,48.33,360845
1016,7,4,1,48,3.8,6,84.44,1128642
4374,4,3,1,25,10.61,4,74.59,403993
3667,4,1,1,6,1.8,1,93.46,495965
1225,4,3,2,29,17.63,8,87.69,870182
1916,6,3,1,33,10.03,5,66.95,1613128
3546,7,3,1,27,11.71,9,19.0,304263
812,5,3,1,13,17.47,7,36.19,1894225
1128,5,3,2,17,17.65,2,55.46,324756
3748,2,2,2,43,17.86,2,3.38,1861985
3208,6,1,1,16,15.0,8,68.13,1146040
1075,7,3,1,24,14.9,5,98.0,1008823
3865,7,2,1,5,24.73,5,82.75,1836176
2904,4,2,2,4,14.29,6,68.79,1470163
3367,5,3,2,20,16.31,7,67.79,1604350
3186,6,4,2,38,29.65,4,89.7,1622780
1522,3,3,2,49,5.84,9,31.03,1271573
4479,5,2,1,19,21.93,8,44.67,1115408
1971,5,3,1,10,14.46,6,66.04,886037
2543,7,2,2,4,25.0,1,57.27,1497354
2087,2,3,2,37,12.42,6,84.41,126447
4532,5,2,2,38,9.44,1,36.63,156538
4251,3,3,1,34,6.63,5,41.63,629493
3840,4,4,2,34,26.23,6,24.92,1654846
4166,1,4,2,24,21.69,2,63.86,1310493
2726,2,2,2,29,2.77,3,39.03,238060
3314,3,4,2,1,21.55,7,54.86,1686932
4352,2,4,2,19,1.53,5,6.06,1703677
995,6,1,1,35,5.86,10,70.44,136400
1128,4,3,2,36,17.99,9,53.26,851886
1765,5,3,2,1,14.17,8,74.22,368847
4892,6,4,1,47,25.29,10,25.0,1561301
1098,5,4,2,43,18.43,9,85.55,679372
795,7,2,2,46,28.97,6,87.08,1688691
4571,3,3,2,26,25.73,2,43.71,563019
4760,4,1,1,31,10.54,6,9.53,390192
2902,1,1,2,3,25.11,5,50.72,1030826
2219,1,4,1,26,26.16,10,64.7,976025
1117,5,2,1,29,29.11,4,59.94,274410
3182,6,2,2,2,0.87,9,89.77,1527760
3977,7,3,1,45,26.3,2,91.82,961388
543,4,4,2,44,2.56,3,62.21,1971617
3540,4,4,1,26,16.08,4,64.23,1137437
4891,3,2,1,37,12.73,7,12.98,451112
3338,6,1,1,35,27.64,1,39.33,298261
4036,1,1,2,0,12.45,9,33.01,110703
3622,3,3,2,34,18.08,5,34.58,1664465
1567,2,4,1,11,20.91,1,72.74,441575
3016,4,4,2,34,1.06,8,48.8,574126
1462,1,1,1,17,17.93,3,50.26,766515
2556,3,4,2,45,15.78,1,24.77,1388511
3382,5,4,1,36,18.02,7,16.72,1325600
3694,2,2,2,22,2.73,4,40.94,492931
1556,3,3,1,32,2.14,5,5.77,1914985
1132,5,3,2,13,5.74,10,15.95,1430864
4730,1,3,2,43,26.15,2,81.85,718311
1353,1,2,2,0,11.02,4,43.74,1582443
2939,2,3,2,26,13.3,5,97.64,570224
3724,5,3,2,23,12.01,4,0.44,132149
3701,4,1,1,1,21.57,3,92.06,1672449
1942,7,1,1,11,8.15,5,65.24,63450
1591,7,3,2,12,2.52,2,62.31,1707405
3393,1,2,2,26,11.66,10,84.04,1463375
3081,6,2,1,19,21.97,10,62.68,1561523
1617,4,2,2,46,27.49,1,3.49,1043614
1940,4,4,2,47,2.0,7,90.53,177790
3636,7,4,2,36,24.41,3,87.32,1043289
2786,3,2,2,33,2.45,6,51.99,839833
4119,3,1,1,5,10.25,8,12.6,844672
1788,1,4,2,7,1.16,3,82.15,1070807
2256,4,2,1,20,27.39,9,52.98,1627372
1765,3,4,1,38,21.35,5,32.62,1731196
899,5,4,1,20,11.39,8,99.33,76379
2080,5,4,1,44,11.63,10,16.45,904130
910,5,4,2,5,19.38,2,16.46,394741
4712,5,2,1,40,3.14,2,59.97,1637510
1724,4,4,2,43,4.78,6,26.7,866204
1555,5,3,2,29,25.49,2,41.21,1284380
2227,4,2,1,9,6.47,6,24.05,431747
3541,7,2,1,10,21.94,9,78.26,952126
3886,1,2,2,0,7.16,3,27.46,197023
2210,1,4,2,9,3.1,8,84.22,656803
3323,5,2,1,24,27.05,3,73.59,1229793
2614,5,1,1,15,27.1,9,29.78,1214481
4586,5,3,2,18,18.36,5,79.9,166816
1113,1,1,1,9,14.13,8,31.88,1241231
4002,3,3,1,46,16.81,1,40.66,617782
4534,1,3,2,13,12.54,1,7.83,259102
3922,5,4,2,2,22.84,9,56.88,1296336
4668,3,3,2,3,22.76,7,81.63,1465780
1643,3,3,2,39,24.66,5,62.3,1270036
4109,2,1,2,32,15.93,10,55.17,1353486
1481,7,3,2,19,24.14,1,89.79,368411
855,4,2,1,14,5.09,3,44.13,870875
1294,7,2,2,6,1.39,10,99.58,1728728
1784,5,3,2,43,19.62,10,46.07,1255391
2358,4,2,2,2,3.61,9,64.33,603512
3472,2,4,1,26,16.74,10,4.64,411968
2396,4,2,1,36,21.77,3,69.85,326117
4685,5,4,2,28,12.51,5,31.95,1995997
904,2,3,2,25,1.79,2,12.77,342190
1614,4,4,1,26,26.67,5,14.81,1795456
1931,1,4,1,24,1.78,7,50.83,1340551
3840,3,3,2,39,27.19,5,58.96,1191561
1223,7,3,1,42,2.05,5,70.33,354373
1328,2,4,1,29,22.19,4,44.61,721092
533,1,1,1,43,27.78,4,86.47,77397
2505,5,3,2,19,27.26,5,6.85,1817535
4027,3,3,1,6,26.85,2,12.14,1776850
2252,7,1,1,28,26.55,6,22.79,297119
4575,2,2,2,45,15.56,2,10.17,757417
3333,3,1,1,33,16.95,9,75.59,214645
3684,6,2,1,25,18.78,6,36.29,492015
4698,6,1,1,26,26.93,5,60.43,75368
3211,2,4,2,43,25.23,3,76.49,1247957
1650,2,3,2,8,23.6,10,54.72,1626050
3912,4,1,2,21,20.43,9,53.35,337470
1656,3,3,1,11,18.74,8,45.03,250651
3776,6,2,1,5,27.71,3,69.55,1276529
3886,7,4,1,5,6.18,1,52.96,292675
3984,6,3,2,26,6.19,1,40.36,830896
1796,3,1,2,18,29.48,10,61.78,156532
4037,6,1,1,5,16.82,8,96.15,1178379
3730,7,4,2,48,14.76,10,80.81,336156
3103,1,2,2,16,25.59,7,44.71,916950
870,6,4,1,28,25.57,7,60.76,1784234
1753,6,4,1,22,5.71,3,39.14,238473
3183,5,3,2,16,5.62,6,52.02,803247
3231,1,2,2,20,23.96,10,73.36,960483
757,4,4,2,9,23.68,5,83.79,488306
3419,2,3,1,42,7.14,5,6.12,899484
1067,7,3,2,7,25.32,6,16.47,1927201
4868,6,2,1,13,14.66,8,58.04,369762
1545,7,2,2,30,14.36,9,70.35,668312
4585,4,3,2,17,29.58,5,66.08,526810
4119,4,2,1,46,15.82,10,24.95,923011
3145,1,3,1,29,4.54,7,65.44,998408
939,7,2,2,17,8.76,1,46.19,1481180
3179,2,2,2,24,10.34,5,24.49,489883
4536,5,2,1,48,28.77,10,88.47,1804009
4175,4,1,2,36,8.29,3,53.0,1118725
2908,5,2,1,24,13.2,10,86.24,903340
3179,2,1,1,29,22.61,2,41.8,756320
1324,2,3,2,29,8.59,3,63.29,1139542
3356,1,4,1,35,21.2,10,81.7,1176546
1981,7,4,1,10,6.62,9,32.88,688085
3724,3,4,2,47,7.65,9,85.76,1931418
4885,7,3,2,38,29.6,2,35.15,1283577
655,6,2,2,26,11.38,9,20.2,367831
2238,1,1,2,15,22.03,3,74.01,1361207
2344,7,3,2,37,25.28,3,33.48,402615
409,5,4,2,31,10.73,5,95.34,1547551
3271,7,4,2,28,11.04,4,80.45,1818397
